"temperature","rainfall","soil","period","crop"
"22","150","2","1","1"
"22","150","3","1","1"
"22","150","5","1","1"
"22","150","6","1","1"
"22","151","2","1","1"
"22","151","3","1","1"
"22","151","5","1","1"
"22","151","6","1","1"
"22","152","2","1","1"
"22","152","3","1","1"
"22","152","5","1","1"
"22","152","6","1","1"
"22","153","2","1","1"
"22","153","3","1","1"
"22","153","5","1","1"
"22","153","6","1","1"
"22","154","2","1","1"
"22","154","3","1","1"
"22","154","5","1","1"
"22","154","6","1","1"
"22","155","2","1","1"
"22","155","3","1","1"
"22","155","5","1","1"
"22","155","6","1","1"
"22","156","2","1","1"
"22","156","3","1","1"
"22","156","5","1","1"
"22","156","6","1","1"
"22","157","2","1","1"
"22","157","3","1","1"
"22","157","5","1","1"
"22","157","6","1","1"
"22","158","2","1","1"
"22","158","3","1","1"
"22","158","5","1","1"
"22","158","6","1","1"
"22","159","2","1","1"
"22","159","3","1","1"
"22","159","5","1","1"
"22","159","6","1","1"
"22","160","2","1","1"
"22","160","3","1","1"
"22","160","5","1","1"
"22","160","6","1","1"
"22","161","2","1","1"
"22","161","3","1","1"
"22","161","5","1","1"
"22","161","6","1","1"
"22","162","2","1","1"
"22","162","3","1","1"
"22","162","5","1","1"
"22","162","6","1","1"
"22","163","2","1","1"
"22","163","3","1","1"
"22","163","5","1","1"
"22","163","6","1","1"
"22","164","2","1","1"
"22","164","3","1","1"
"22","164","5","1","1"
"22","164","6","1","1"
"22","165","2","1","1"
"22","165","3","1","1"
"22","165","5","1","1"
"22","165","6","1","1"
"22","166","2","1","1"
"22","166","3","1","1"
"22","166","5","1","1"
"22","166","6","1","1"
"22","167","2","1","1"
"22","167","3","1","1"
"22","167","5","1","1"
"22","167","6","1","1"
"22","168","2","1","1"
"22","168","3","1","1"
"22","168","5","1","1"
"22","168","6","1","1"
"22","169","2","1","1"
"22","169","3","1","1"
"22","169","5","1","1"
"22","169","6","1","1"
"22","170","2","1","1"
"22","170","3","1","1"
"22","170","5","1","1"
"22","170","6","1","1"
"22","171","2","1","1"
"22","171","3","1","1"
"22","171","5","1","1"
"22","171","6","1","1"
"22","172","2","1","1"
"22","172","3","1","1"
"22","172","5","1","1"
"22","172","6","1","1"
"22","173","2","1","1"
"22","173","3","1","1"
"22","173","5","1","1"
"22","173","6","1","1"
"22","174","2","1","1"
"22","174","3","1","1"
"22","174","5","1","1"
"22","174","6","1","1"
"22","175","2","1","1"
"22","175","3","1","1"
"22","175","5","1","1"
"22","175","6","1","1"
"22","176","2","1","1"
"22","176","3","1","1"
"22","176","5","1","1"
"22","176","6","1","1"
"22","177","2","1","1"
"22","177","3","1","1"
"22","177","5","1","1"
"22","177","6","1","1"
"22","178","2","1","1"
"22","178","3","1","1"
"22","178","5","1","1"
"22","178","6","1","1"
"22","179","2","1","1"
"22","179","3","1","1"
"22","179","5","1","1"
"22","179","6","1","1"
"22","180","2","1","1"
"22","180","3","1","1"
"22","180","5","1","1"
"22","180","6","1","1"
"22","181","2","1","1"
"22","181","3","1","1"
"22","181","5","1","1"
"22","181","6","1","1"
"22","182","2","1","1"
"22","182","3","1","1"
"22","182","5","1","1"
"22","182","6","1","1"
"22","183","2","1","1"
"22","183","3","1","1"
"22","183","5","1","1"
"22","183","6","1","1"
"22","184","2","1","1"
"22","184","3","1","1"
"22","184","5","1","1"
"22","184","6","1","1"
"22","185","2","1","1"
"22","185","3","1","1"
"22","185","5","1","1"
"22","185","6","1","1"
"22","186","2","1","1"
"22","186","3","1","1"
"22","186","5","1","1"
"22","186","6","1","1"
"22","187","2","1","1"
"22","187","3","1","1"
"22","187","5","1","1"
"22","187","6","1","1"
"22","188","2","1","1"
"22","188","3","1","1"
"22","188","5","1","1"
"22","188","6","1","1"
"22","189","2","1","1"
"22","189","3","1","1"
"22","189","5","1","1"
"22","189","6","1","1"
"22","190","2","1","1"
"22","190","3","1","1"
"22","190","5","1","1"
"22","190","6","1","1"
"22","191","2","1","1"
"22","191","3","1","1"
"22","191","5","1","1"
"22","191","6","1","1"
"22","192","2","1","1"
"22","192","3","1","1"
"22","192","5","1","1"
"22","192","6","1","1"
"22","193","2","1","1"
"22","193","3","1","1"
"22","193","5","1","1"
"22","193","6","1","1"
"22","194","2","1","1"
"22","194","3","1","1"
"22","194","5","1","1"
"22","194","6","1","1"
"22","195","2","1","1"
"22","195","3","1","1"
"22","195","5","1","1"
"22","195","6","1","1"
"22","196","2","1","1"
"22","196","3","1","1"
"22","196","5","1","1"
"22","196","6","1","1"
"22","197","2","1","1"
"22","197","3","1","1"
"22","197","5","1","1"
"22","197","6","1","1"
"22","198","2","1","1"
"22","198","3","1","1"
"22","198","5","1","1"
"22","198","6","1","1"
"22","199","2","1","1"
"22","199","3","1","1"
"22","199","5","1","1"
"22","199","6","1","1"
"22","200","2","1","1"
"22","200","3","1","1"
"22","200","5","1","1"
"22","200","6","1","1"
"22","201","2","1","1"
"22","201","3","1","1"
"22","201","5","1","1"
"22","201","6","1","1"
"22","202","2","1","1"
"22","202","3","1","1"
"22","202","5","1","1"
"22","202","6","1","1"
"22","203","2","1","1"
"22","203","3","1","1"
"22","203","5","1","1"
"22","203","6","1","1"
"22","204","2","1","1"
"22","204","3","1","1"
"22","204","5","1","1"
"22","204","6","1","1"
"22","205","2","1","1"
"22","205","3","1","1"
"22","205","5","1","1"
"22","205","6","1","1"
"22","206","2","1","1"
"22","206","3","1","1"
"22","206","5","1","1"
"22","206","6","1","1"
"22","207","2","1","1"
"22","207","3","1","1"
"22","207","5","1","1"
"22","207","6","1","1"
"22","208","2","1","1"
"22","208","3","1","1"
"22","208","5","1","1"
"22","208","6","1","1"
"22","209","2","1","1"
"22","209","3","1","1"
"22","209","5","1","1"
"22","209","6","1","1"
"22","210","2","1","1"
"22","210","3","1","1"
"22","210","5","1","1"
"22","210","6","1","1"
"22","211","2","1","1"
"22","211","3","1","1"
"22","211","5","1","1"
"22","211","6","1","1"
"22","212","2","1","1"
"22","212","3","1","1"
"22","212","5","1","1"
"22","212","6","1","1"
"22","213","2","1","1"
"22","213","3","1","1"
"22","213","5","1","1"
"22","213","6","1","1"
"22","214","2","1","1"
"22","214","3","1","1"
"22","214","5","1","1"
"22","214","6","1","1"
"22","215","2","1","1"
"22","215","3","1","1"
"22","215","5","1","1"
"22","215","6","1","1"
"22","216","2","1","1"
"22","216","3","1","1"
"22","216","5","1","1"
"22","216","6","1","1"
"22","217","2","1","1"
"22","217","3","1","1"
"22","217","5","1","1"
"22","217","6","1","1"
"22","218","2","1","1"
"22","218","3","1","1"
"22","218","5","1","1"
"22","218","6","1","1"
"22","219","2","1","1"
"22","219","3","1","1"
"22","219","5","1","1"
"22","219","6","1","1"
"22","220","2","1","1"
"22","220","3","1","1"
"22","220","5","1","1"
"22","220","6","1","1"
"22","221","2","1","1"
"22","221","3","1","1"
"22","221","5","1","1"
